card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,born_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,born_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
The Ultimate Fighter: Team Bisping vs Team Miller Finale,Bryan Caraway,0.43,53,3,3,Dustin Neace,0.32,55,1,0,"Las Vegas, Nevada, USA",3,2,Featherweight,1,SUB,2011,3.61,2.53,172.72,68.0,Orthodox,0.34,0.54,0.8,0.25,2.57,0.8,135,1984,21,9,0,0,2.66,2.08,175.26,71.0,Open Stance,0.32,0.56,1.7,0.0,0.0,0.0,145,1986,25,21,1,1,27,25
The Ultimate Fighter: Team Bisping vs Team Miller Finale,Roland Delorme,0.67,53,5,2,Josh Ferguson,0.58,58,1,0,"Las Vegas, Nevada, USA",3,3,Bantamweight,1,SUB,2011,4.32,2.28,175.26,71.0,Orthodox,0.44,0.4,1.6,0.34,2.51,0.42,135,1983,9,5,0,1,4.18,2.13,165.1,66.0,Orthodox,0.43,0.32,0.0,0.11,0.59,0.54,125,1988,10,5,0,0,28,23
UFC on FOX: Velasquez vs Dos Santos,Mike Pierce,0.52,144,1,0,Paul Bradley,0.43,145,4,0,"Anaheim, California, USA",3,3,Welterweight,1,S-DEC,2011,2.36,2.62,172.72,71.0,Orthodox,0.42,0.62,0.2,0.42,3.08,0.71,170,1980,17,7,0,0,4.13,2.26,175.26,71.0,Orthodox,0.32,0.56,0.0,0.16,1.12,1.0,170,1983,23,8,0,2,31,28
UFC 138: Leben vs Munoz,Vaughan Lee,0.58,89,3,2,Chris Cariaso,0.51,56,9,4,"Birmingham, England, United Kingdom",3,3,Bantamweight,0,S-DEC,2011,2.07,3.47,167.64000000000001,66.0,Orthodox,0.47,0.7,1.0,0.33,0.81,0.72,125,1982,14,13,1,0,2.23,3.35,160.02,64.0,Southpaw,0.43,0.61,0.8,0.39,1.11,0.57,125,1981,17,8,0,0,29,30
UFC 138: Leben vs Munoz,Michihiro Omigawa,0.42,59,10,4,Jason Young,0.27,115,3,2,"Birmingham, England, United Kingdom",3,3,Featherweight,1,U-DEC,2011,3.06,2.01,167.64000000000001,68.0,Orthodox,0.39,0.64,1.5,0.36,1.19,0.49,145,1975,17,14,1,0,3.2,2.97,175.26,73.0,Orthodox,0.37,0.5,0.0,0.66,1.98,0.55,145,1986,9,6,0,0,36,25
UFC 144: Edgar vs Henderson,Chris Cariaso,0.31,88,4,2,Takeya Mizugaki,0.48,77,1,0,"Saitama, Japan",3,3,Bantamweight,1,U-DEC,2012,2.23,3.35,160.02,64.0,Southpaw,0.43,0.61,0.8,0.39,1.11,0.57,125,1981,17,8,0,0,3.27,3.37,170.18,69.0,Orthodox,0.37,0.57,0.1,0.57,1.46,0.7,135,1983,21,11,2,0,31,29
UFC on FOX: Velasquez vs Dos Santos,Alex Caceres,0.58,174,0,0,Cole Escovedo,0.41,58,4,2,"Anaheim, California, USA",3,3,Bantamweight,1,U-DEC,2011,2.82,4.1,177.8,73.0,Southpaw,0.5,0.65,0.8,0.78,0.57,0.64,145,1988,18,12,0,1,4.32,1.77,170.18,72.0,Orthodox,0.43,0.49,0.0,0.33,0.43,0.13,135,1981,17,9,0,0,23,30
UFC 144: Edgar vs Henderson,Steve Cantwell,0.51,242,6,3,Riki Fukuda,0.31,148,1,1,"Saitama, Japan",3,3,Middleweight,0,U-DEC,2012,5.76,3.63,187.96,75.0,Orthodox,0.34,0.55,0.7,0.3,0.65,0.8,185,1986,7,6,0,0,3.71,4.24,182.88,73.0,Southpaw,0.43,0.64,0.0,0.43,2.17,0.7,185,1981,24,9,0,1,26,31
UFC 144: Edgar vs Henderson,Issei Tamura,0.31,19,0,0,Zhang Tiequan,0.62,24,2,1,"Saitama, Japan",3,2,Featherweight,1,KO/TKO,2012,4.58,1.89,165.1,63.0,Orthodox,0.53,0.44,0.0,0.25,0.92,0.33,135,1984,10,8,0,0,2.14,1.23,172.72,69.0,Orthodox,0.36,0.51,3.4,0.58,1.95,0.75,155,1978,15,4,0,0,28,34
UFC 143: Diaz vs Condit,Dan Stittgen,0.36,22,0,0,Stephen Thompson,0.57,38,0,0,"Las Vegas, Nevada, USA",3,1,Welterweight,0,KO/TKO,2012,4.42,2.97,185.42,75.0,Orthodox,0.46,0.37,0.0,1.0,0.78,1.0,170,1980,12,5,0,0,2.75,4.06,182.88,75.0,Orthodox,0.43,0.58,0.0,0.45,0.3,0.73,170,1983,16,5,1,0,32,29
